TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,ans,bll,lf
Punishment,MostlyReward,f,1054,2,2,1,,0.2,0.1
Reward,MostlyReward,f,1083,3,3,1,,0.2,0.1
Reward,MostlyReward,f,1072,4,4,1,,0.2,0.1
Reward,MostlyReward,f,1065,5,5,1,,0.2,0.1
Neutral,MostlyReward,f,1043,6,6,1,,0.2,0.1
Reward,MostlyReward,f,1061,7,7,1,,0.2,0.1
Reward,MostlyPunishment,f,1041,0,8,1,,0.2,0.1
Punishment,MostlyPunishment,f,1039,1,9,1,,0.2,0.1
Punishment,MostlyPunishment,f,1059,2,10,1,,0.2,0.1
Punishment,MostlyPunishment,f,1056,3,11,1,,0.2,0.1
Neutral,MostlyPunishment,f,1053,4,12,1,,0.2,0.1
Punishment,MostlyPunishment,f,1051,5,13,1,,0.2,0.1
Punishment,MostlyPunishment,f,1038,6,14,1,,0.2,0.1
Punishment,MostlyPunishment,f,1050,7,15,1,,0.2,0.1
Punishment,MostlyPunishment,f,1048,0,16,1,,0.2,0.1
Punishment,MostlyPunishment,f,1037,1,17,1,,0.2,0.1
Punishment,MostlyPunishment,f,1047,2,18,1,,0.2,0.1
Neutral,MostlyPunishment,f,1037,3,19,1,,0.2,0.1
Punishment,MostlyPunishment,f,1036,4,20,1,,0.2,0.1
Neutral,MostlyPunishment,f,1047,5,21,1,,0.2,0.1
Punishment,MostlyPunishment,f,1046,6,22,1,,0.2,0.1
Punishment,MostlyPunishment,f,1036,7,23,1,,0.2,0.1
Reward,MostlyReward,f,1036,0,24,1,,0.2,0.1
Reward,MostlyReward,f,1045,1,25,1,,0.2,0.1
Punishment,MostlyReward,f,1035,2,26,1,,0.2,0.1
Reward,MostlyReward,f,1035,3,27,1,,0.2,0.1
Punishment,MostlyReward,f,1035,4,28,1,,0.2,0.1
Reward,MostlyReward,f,1045,5,29,1,,0.2,0.1
Reward,MostlyReward,f,1034,6,30,1,,0.2,0.1
Reward,MostlyReward,f,1034,7,31,1,,0.2,0.1
Punishment,MostlyPunishment,f,1044,0,32,1,,0.2,0.1
Punishment,MostlyPunishment,f,1034,1,33,1,,0.2,0.1
Reward,MostlyPunishment,f,1034,2,34,1,,0.2,0.1
Punishment,MostlyPunishment,f,1034,3,35,1,,0.2,0.1
Reward,MostlyPunishment,f,1034,4,36,1,,0.2,0.1
Punishment,MostlyPunishment,f,1034,5,37,1,,0.2,0.1
Punishment,MostlyPunishment,f,1044,6,38,1,,0.2,0.1
Punishment,MostlyPunishment,f,1033,7,39,1,,0.2,0.1
Reward,MostlyReward,f,1033,0,40,1,,0.2,0.1
Neutral,MostlyReward,f,1043,1,41,1,,0.2,0.1
Reward,MostlyReward,f,1033,2,42,1,,0.2,0.1
Reward,MostlyReward,f,1043,3,43,1,,0.2,0.1
Reward,MostlyReward,f,1042,4,44,1,,0.2,0.1
Reward,MostlyReward,f,1042,5,45,1,,0.2,0.1
Neutral,MostlyReward,f,1041,6,46,1,,0.2,0.1
Reward,MostlyReward,f,1041,7,47,1,,0.2,0.1
Punishment,MostlyPunishment,f,1041,0,48,1,,0.2,0.1
Punishment,MostlyPunishment,f,1033,1,49,1,,0.2,0.1
Reward,MostlyPunishment,f,1033,2,50,1,,0.2,0.1
Punishment,MostlyPunishment,f,1033,3,51,1,,0.2,0.1
Reward,MostlyPunishment,f,1033,4,52,1,,0.2,0.1
Punishment,MostlyPunishment,f,1033,5,53,1,,0.2,0.1
Punishment,MostlyPunishment,f,1040,6,54,1,,0.2,0.1
Punishment,MostlyPunishment,f,1033,7,55,1,,0.2,0.1
Reward,MostlyReward,f,1040,0,56,1,,0.2,0.1
Reward,MostlyReward,f,1040,1,57,1,,0.2,0.1
Punishment,MostlyReward,f,1033,2,58,1,,0.2,0.1
Reward,MostlyReward,f,1032,3,59,1,,0.2,0.1
Punishment,MostlyReward,f,1032,4,60,1,,0.2,0.1
Reward,MostlyReward,f,1032,5,61,1,,0.2,0.1
Reward,MostlyReward,f,1040,6,62,1,,0.2,0.1
Reward,MostlyReward,f,1032,7,63,1,,0.2,0.1
Reward,MostlyReward,j,1013,0,0,2,,0.2,0.1
Reward,MostlyReward,j,1062,1,1,2,,0.2,0.1
Punishment,MostlyReward,j,1103,2,2,2,,0.2,0.1
Reward,MostlyReward,j,1083,3,3,2,,0.2,0.1
Reward,MostlyReward,j,1047,4,4,2,,0.2,0.1
Reward,MostlyReward,j,1074,5,5,2,,0.2,0.1
Neutral,MostlyReward,j,1042,6,6,2,,0.2,0.1
Reward,MostlyReward,j,1041,7,7,2,,0.2,0.1
Reward,MostlyPunishment,j,1040,0,8,2,,0.2,0.1
Punishment,MostlyPunishment,j,1069,1,9,2,,0.2,0.1
Punishment,MostlyPunishment,j,1064,2,10,2,,0.2,0.1
Punishment,MostlyPunishment,j,1059,3,11,2,,0.2,0.1
Neutral,MostlyPunishment,j,1056,4,12,2,,0.2,0.1
Punishment,MostlyPunishment,j,1038,5,13,2,,0.2,0.1
Punishment,MostlyPunishment,j,1054,6,14,2,,0.2,0.1
Punishment,MostlyPunishment,j,1052,7,15,2,,0.2,0.1
Punishment,MostlyPunishment,j,1050,0,16,2,,0.2,0.1
Punishment,MostlyPunishment,j,1049,1,17,2,,0.2,0.1
Punishment,MostlyPunishment,j,1047,2,18,2,,0.2,0.1
Neutral,MostlyPunishment,j,1046,3,19,2,,0.2,0.1
Punishment,MostlyPunishment,j,1037,4,20,2,,0.2,0.1
Neutral,MostlyPunishment,j,1036,5,21,2,,0.2,0.1
Punishment,MostlyPunishment,j,1046,6,22,2,,0.2,0.1
Punishment,MostlyPunishment,j,1036,7,23,2,,0.2,0.1
Reward,MostlyReward,j,1045,0,24,2,,0.2,0.1
Reward,MostlyReward,j,1035,1,25,2,,0.2,0.1
Punishment,MostlyReward,j,1044,2,26,2,,0.2,0.1
Reward,MostlyReward,j,1035,3,27,2,,0.2,0.1
Punishment,MostlyReward,j,1035,4,28,2,,0.2,0.1
Reward,MostlyReward,j,1044,5,29,2,,0.2,0.1
Reward,MostlyReward,j,1035,6,30,2,,0.2,0.1
Reward,MostlyReward,j,1034,7,31,2,,0.2,0.1
Punishment,MostlyPunishment,j,1034,0,32,2,,0.2,0.1
Punishment,MostlyPunishment,j,1034,1,33,2,,0.2,0.1
Reward,MostlyPunishment,j,1034,2,34,2,,0.2,0.1
Punishment,MostlyPunishment,j,1034,3,35,2,,0.2,0.1
Reward,MostlyPunishment,j,1034,4,36,2,,0.2,0.1
Punishment,MostlyPunishment,j,1034,5,37,2,,0.2,0.1
Punishment,MostlyPunishment,j,1034,6,38,2,,0.2,0.1
Punishment,MostlyPunishment,j,1044,7,39,2,,0.2,0.1
Reward,MostlyReward,j,1043,0,40,2,,0.2,0.1
Neutral,MostlyReward,j,1033,1,41,2,,0.2,0.1
Reward,MostlyReward,j,1033,2,42,2,,0.2,0.1
Reward,MostlyReward,j,1033,3,43,2,,0.2,0.1
Reward,MostlyReward,j,1043,4,44,2,,0.2,0.1
Reward,MostlyReward,j,1033,5,45,2,,0.2,0.1
Neutral,MostlyReward,j,1033,6,46,2,,0.2,0.1
Reward,MostlyReward,j,1042,7,47,2,,0.2,0.1
Punishment,MostlyPunishment,j,1033,0,48,2,,0.2,0.1
Punishment,MostlyPunishment,j,1033,1,49,2,,0.2,0.1
Reward,MostlyPunishment,j,1033,2,50,2,,0.2,0.1
Punishment,MostlyPunishment,j,1042,3,51,2,,0.2,0.1
Reward,MostlyPunishment,j,1042,4,52,2,,0.2,0.1
Punishment,MostlyPunishment,j,1041,5,53,2,,0.2,0.1
Punishment,MostlyPunishment,j,1041,6,54,2,,0.2,0.1
Punishment,MostlyPunishment,j,1040,7,55,2,,0.2,0.1
Reward,MostlyReward,j,1040,0,56,2,,0.2,0.1
Reward,MostlyReward,j,1040,1,57,2,,0.2,0.1
Punishment,MostlyReward,j,1040,2,58,2,,0.2,0.1
Reward,MostlyReward,j,1039,3,59,2,,0.2,0.1
Punishment,MostlyReward,j,1039,4,60,2,,0.2,0.1
Reward,MostlyReward,j,1039,5,61,2,,0.2,0.1
Reward,MostlyReward,j,1032,6,62,2,,0.2,0.1
Reward,MostlyReward,j,1039,7,63,2,,0.2,0.1
Reward,MostlyReward,j,979,0,0,3,,0.2,0.1
Reward,MostlyReward,j,1056,1,1,3,,0.2,0.1
Punishment,MostlyReward,j,1048,2,2,3,,0.2,0.1
Reward,MostlyReward,j,1188,3,3,3,,0.2,0.1
Reward,MostlyReward,j,1044,4,4,3,,0.2,0.1
Reward,MostlyReward,j,1042,5,5,3,,0.2,0.1
Neutral,MostlyReward,j,1040,6,6,3,,0.2,0.1
Reward,MostlyReward,j,1039,7,7,3,,0.2,0.1
Reward,MostlyPunishment,j,1038,0,8,3,,0.2,0.1
Punishment,MostlyPunishment,j,1038,1,9,3,,0.2,0.1
Punishment,MostlyPunishment,j,1131,2,10,3,,0.2,0.1
Punishment,MostlyPunishment,j,1037,3,11,3,,0.2,0.1
Neutral,MostlyPunishment,j,1037,4,12,3,,0.2,0.1
Punishment,MostlyPunishment,j,1036,5,13,3,,0.2,0.1
Punishment,MostlyPunishment,j,1102,6,14,3,,0.2,0.1
Punishment,MostlyPunishment,j,1085,7,15,3,,0.2,0.1
Punishment,MostlyPunishment,j,1036,0,16,3,,0.2,0.1
Punishment,MostlyPunishment,j,1075,1,17,3,,0.2,0.1
Punishment,MostlyPunishment,j,1036,2,18,3,,0.2,0.1
Neutral,MostlyPunishment,j,1035,3,19,3,,0.2,0.1
Punishment,MostlyPunishment,j,1035,4,20,3,,0.2,0.1
Neutral,MostlyPunishment,j,1035,5,21,3,,0.2,0.1
Punishment,MostlyPunishment,j,1069,6,22,3,,0.2,0.1
Punishment,MostlyPunishment,j,1064,7,23,3,,0.2,0.1
Reward,MostlyReward,j,1035,0,24,3,,0.2,0.1
Reward,MostlyReward,j,1035,1,25,3,,0.2,0.1
Punishment,MostlyReward,j,1060,2,26,3,,0.2,0.1
Reward,MostlyReward,j,1057,3,27,3,,0.2,0.1
Punishment,MostlyReward,j,1034,4,28,3,,0.2,0.1
Reward,MostlyReward,j,1055,5,29,3,,0.2,0.1
Reward,MostlyReward,j,1034,6,30,3,,0.2,0.1
Reward,MostlyReward,j,1053,7,31,3,,0.2,0.1
Punishment,MostlyPunishment,j,1034,0,32,3,,0.2,0.1
Punishment,MostlyPunishment,j,1034,1,33,3,,0.2,0.1
Reward,MostlyPunishment,j,1051,2,34,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,3,35,3,,0.2,0.1
Reward,MostlyPunishment,j,1050,4,36,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,5,37,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,6,38,3,,0.2,0.1
Punishment,MostlyPunishment,j,1049,7,39,3,,0.2,0.1
Reward,MostlyReward,j,1048,0,40,3,,0.2,0.1
Neutral,MostlyReward,j,1047,1,41,3,,0.2,0.1
Reward,MostlyReward,j,1033,2,42,3,,0.2,0.1
Reward,MostlyReward,j,1046,3,43,3,,0.2,0.1
Reward,MostlyReward,j,1045,4,44,3,,0.2,0.1
Reward,MostlyReward,j,1033,5,45,3,,0.2,0.1
Neutral,MostlyReward,j,1044,6,46,3,,0.2,0.1
Reward,MostlyReward,j,1044,7,47,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,0,48,3,,0.2,0.1
Punishment,MostlyPunishment,j,1043,1,49,3,,0.2,0.1
Reward,MostlyPunishment,j,1043,2,50,3,,0.2,0.1
Punishment,MostlyPunishment,j,1042,3,51,3,,0.2,0.1
Reward,MostlyPunishment,j,1042,4,52,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,5,53,3,,0.2,0.1
Punishment,MostlyPunishment,j,1033,6,54,3,,0.2,0.1
Punishment,MostlyPunishment,j,1041,7,55,3,,0.2,0.1
Reward,MostlyReward,j,1033,0,56,3,,0.2,0.1
Reward,MostlyReward,j,1032,1,57,3,,0.2,0.1
Punishment,MostlyReward,j,1041,2,58,3,,0.2,0.1
Reward,MostlyReward,j,1041,3,59,3,,0.2,0.1
Punishment,MostlyReward,j,1032,4,60,3,,0.2,0.1
Reward,MostlyReward,j,1040,5,61,3,,0.2,0.1
Reward,MostlyReward,j,1040,6,62,3,,0.2,0.1
Reward,MostlyReward,j,1040,7,63,3,,0.2,0.1
Reward,MostlyReward,j,1013,0,0,4,,0.2,0.1
Reward,MostlyReward,j,1062,1,1,4,,0.2,0.1
Punishment,MostlyReward,j,1103,2,2,4,,0.2,0.1
Reward,MostlyReward,j,1083,3,3,4,,0.2,0.1
Reward,MostlyReward,j,1072,4,4,4,,0.2,0.1
Reward,MostlyReward,j,1065,5,5,4,,0.2,0.1
Neutral,MostlyReward,j,1043,6,6,4,,0.2,0.1
Reward,MostlyReward,j,1061,7,7,4,,0.2,0.1
Reward,MostlyPunishment,j,1041,0,8,4,,0.2,0.1
Punishment,MostlyPunishment,j,1058,1,9,4,,0.2,0.1
Punishment,MostlyPunishment,j,1055,2,10,4,,0.2,0.1
Punishment,MostlyPunishment,j,1053,3,11,4,,0.2,0.1
Neutral,MostlyPunishment,j,1051,4,12,4,,0.2,0.1
Punishment,MostlyPunishment,j,1038,5,13,4,,0.2,0.1
Punishment,MostlyPunishment,j,1050,6,14,4,,0.2,0.1
Punishment,MostlyPunishment,j,1038,7,15,4,,0.2,0.1
Punishment,MostlyPunishment,j,1048,0,16,4,,0.2,0.1
Punishment,MostlyPunishment,j,1047,1,17,4,,0.2,0.1
Punishment,MostlyPunishment,j,1037,2,18,4,,0.2,0.1
Neutral,MostlyPunishment,j,1046,3,19,4,,0.2,0.1
Punishment,MostlyPunishment,j,1037,4,20,4,,0.2,0.1
Neutral,MostlyPunishment,j,1036,5,21,4,,0.2,0.1
Punishment,MostlyPunishment,j,1036,6,22,4,,0.2,0.1
Punishment,MostlyPunishment,j,1036,7,23,4,,0.2,0.1
Reward,MostlyReward,j,1036,0,24,4,,0.2,0.1
Reward,MostlyReward,j,1035,1,25,4,,0.2,0.1
Punishment,MostlyReward,j,1035,2,26,4,,0.2,0.1
Reward,MostlyReward,j,1035,3,27,4,,0.2,0.1
Punishment,MostlyReward,j,1046,4,28,4,,0.2,0.1
Reward,MostlyReward,j,1046,5,29,4,,0.2,0.1
Reward,MostlyReward,j,1034,6,30,4,,0.2,0.1
Reward,MostlyReward,j,1045,7,31,4,,0.2,0.1
Punishment,MostlyPunishment,j,1044,0,32,4,,0.2,0.1
Punishment,MostlyPunishment,j,1034,1,33,4,,0.2,0.1
Reward,MostlyPunishment,j,1044,2,34,4,,0.2,0.1
Punishment,MostlyPunishment,j,1043,3,35,4,,0.2,0.1
Reward,MostlyPunishment,j,1034,4,36,4,,0.2,0.1
Punishment,MostlyPunishment,j,1042,5,37,4,,0.2,0.1
Punishment,MostlyPunishment,j,1034,6,38,4,,0.2,0.1
Punishment,MostlyPunishment,j,1034,7,39,4,,0.2,0.1
Reward,MostlyReward,j,1033,0,40,4,,0.2,0.1
Neutral,MostlyReward,j,1033,1,41,4,,0.2,0.1
Reward,MostlyReward,j,1033,2,42,4,,0.2,0.1
Reward,MostlyReward,j,1042,3,43,4,,0.2,0.1
Reward,MostlyReward,j,1042,4,44,4,,0.2,0.1
Reward,MostlyReward,j,1041,5,45,4,,0.2,0.1
Neutral,MostlyReward,j,1041,6,46,4,,0.2,0.1
Reward,MostlyReward,j,1033,7,47,4,,0.2,0.1
Punishment,MostlyPunishment,j,1041,0,48,4,,0.2,0.1
Punishment,MostlyPunishment,j,1033,1,49,4,,0.2,0.1
Reward,MostlyPunishment,j,1040,2,50,4,,0.2,0.1
Punishment,MostlyPunishment,j,1033,3,51,4,,0.2,0.1
Reward,MostlyPunishment,j,1033,4,52,4,,0.2,0.1
Punishment,MostlyPunishment,j,1040,5,53,4,,0.2,0.1
Punishment,MostlyPunishment,j,1040,6,54,4,,0.2,0.1
Punishment,MostlyPunishment,j,1039,7,55,4,,0.2,0.1
Reward,MostlyReward,j,1033,0,56,4,,0.2,0.1
Reward,MostlyReward,j,1039,1,57,4,,0.2,0.1
Punishment,MostlyReward,j,1039,2,58,4,,0.2,0.1
Reward,MostlyReward,j,1033,3,59,4,,0.2,0.1
Punishment,MostlyReward,j,1039,4,60,4,,0.2,0.1
Reward,MostlyReward,j,1038,5,61,4,,0.2,0.1
Reward,MostlyReward,j,1038,6,62,4,,0.2,0.1
Reward,MostlyReward,j,1038,7,63,4,,0.2,0.1
Reward,MostlyReward,j,1013,0,0,5,,0.2,0.1
Reward,MostlyReward,f,1094,1,1,5,,0.2,0.1
Punishment,MostlyReward,f,1059,2,2,5,,0.2,0.1
Reward,MostlyReward,f,1053,3,3,5,,0.2,0.1
Reward,MostlyReward,f,1047,4,4,5,,0.2,0.1
Reward,MostlyReward,j,1074,5,5,5,,0.2,0.1
Neutral,MostlyReward,f,1043,6,6,5,,0.2,0.1
Reward,MostlyReward,j,1061,7,7,5,,0.2,0.1
Reward,MostlyPunishment,f,1041,0,8,5,,0.2,0.1
Punishment,MostlyPunishment,j,1055,1,9,5,,0.2,0.1
Punishment,MostlyPunishment,f,1040,2,10,5,,0.2,0.1
Punishment,MostlyPunishment,j,1053,3,11,5,,0.2,0.1
Neutral,MostlyPunishment,j,1051,4,12,5,,0.2,0.1
Punishment,MostlyPunishment,j,1049,5,13,5,,0.2,0.1
Punishment,MostlyPunishment,f,1038,6,14,5,,0.2,0.1
Punishment,MostlyPunishment,f,1038,7,15,5,,0.2,0.1
Punishment,MostlyPunishment,f,1037,0,16,5,,0.2,0.1
Punishment,MostlyPunishment,j,1049,1,17,5,,0.2,0.1
Punishment,MostlyPunishment,j,1047,2,18,5,,0.2,0.1
Neutral,MostlyPunishment,j,1046,3,19,5,,0.2,0.1
Punishment,MostlyPunishment,j,1045,4,20,5,,0.2,0.1
Neutral,MostlyPunishment,f,1036,5,21,5,,0.2,0.1
Punishment,MostlyPunishment,f,1036,6,22,5,,0.2,0.1
Punishment,MostlyPunishment,f,1036,7,23,5,,0.2,0.1
Reward,MostlyReward,j,1045,0,24,5,,0.2,0.1
Reward,MostlyReward,j,1043,1,25,5,,0.2,0.1
Punishment,MostlyReward,f,1036,2,26,5,,0.2,0.1
Reward,MostlyReward,f,1035,3,27,5,,0.2,0.1
Punishment,MostlyReward,f,1035,4,28,5,,0.2,0.1
Reward,MostlyReward,j,1042,5,29,5,,0.2,0.1
Reward,MostlyReward,f,1035,6,30,5,,0.2,0.1
Reward,MostlyReward,f,1035,7,31,5,,0.2,0.1
Punishment,MostlyPunishment,f,1034,0,32,5,,0.2,0.1
Punishment,MostlyPunishment,j,1042,1,33,5,,0.2,0.1
Reward,MostlyPunishment,j,1041,2,34,5,,0.2,0.1
Punishment,MostlyPunishment,j,1040,3,35,5,,0.2,0.1
Reward,MostlyPunishment,f,1034,4,36,5,,0.2,0.1
Punishment,MostlyPunishment,j,1040,5,37,5,,0.2,0.1
Punishment,MostlyPunishment,j,1040,6,38,5,,0.2,0.1
Punishment,MostlyPunishment,f,1034,7,39,5,,0.2,0.1
Reward,MostlyReward,j,1039,0,40,5,,0.2,0.1
Neutral,MostlyReward,j,1039,1,41,5,,0.2,0.1
Reward,MostlyReward,j,1039,2,42,5,,0.2,0.1
Reward,MostlyReward,j,1038,3,43,5,,0.2,0.1
Reward,MostlyReward,j,1038,4,44,5,,0.2,0.1
Reward,MostlyReward,j,1037,5,45,5,,0.2,0.1
Neutral,MostlyReward,f,1034,6,46,5,,0.2,0.1
Reward,MostlyReward,j,1037,7,47,5,,0.2,0.1
Punishment,MostlyPunishment,j,1037,0,48,5,,0.2,0.1
Punishment,MostlyPunishment,j,1037,1,49,5,,0.2,0.1
Reward,MostlyPunishment,j,1036,2,50,5,,0.2,0.1
Punishment,MostlyPunishment,j,1036,3,51,5,,0.2,0.1
Reward,MostlyPunishment,f,1033,4,52,5,,0.2,0.1
Punishment,MostlyPunishment,f,1033,5,53,5,,0.2,0.1
Punishment,MostlyPunishment,j,1036,6,54,5,,0.2,0.1
Punishment,MostlyPunishment,f,1033,7,55,5,,0.2,0.1
Reward,MostlyReward,f,1033,0,56,5,,0.2,0.1
Reward,MostlyReward,f,1033,1,57,5,,0.2,0.1
Punishment,MostlyReward,f,1033,2,58,5,,0.2,0.1
Reward,MostlyReward,j,1036,3,59,5,,0.2,0.1
Punishment,MostlyReward,f,1033,4,60,5,,0.2,0.1
Reward,MostlyReward,j,1036,5,61,5,,0.2,0.1
Reward,MostlyReward,j,1036,6,62,5,,0.2,0.1
Reward,MostlyReward,f,1033,7,63,5,,0.2,0.1
Reward,MostlyReward,j,1013,0,0,6,,0.2,0.1
Reward,MostlyReward,j,1062,1,1,6,,0.2,0.1
Punishment,MostlyReward,j,1051,2,2,6,,0.2,0.1
Reward,MostlyReward,f,1109,3,3,6,,0.2,0.1
Reward,MostlyReward,f,1072,4,4,6,,0.2,0.1
Reward,MostlyReward,j,1046,5,5,6,,0.2,0.1
Neutral,MostlyReward,j,1043,6,6,6,,0.2,0.1
Reward,MostlyReward,f,1061,7,7,6,,0.2,0.1
Reward,MostlyPunishment,f,1054,0,8,6,,0.2,0.1
Punishment,MostlyPunishment,f,1050,1,9,6,,0.2,0.1
Punishment,MostlyPunishment,j,1041,2,10,6,,0.2,0.1
Punishment,MostlyPunishment,j,1040,3,11,6,,0.2,0.1
Neutral,MostlyPunishment,f,1049,4,12,6,,0.2,0.1
Punishment,MostlyPunishment,j,1039,5,13,6,,0.2,0.1
Punishment,MostlyPunishment,f,1048,6,14,6,,0.2,0.1
Punishment,MostlyPunishment,j,1038,7,15,6,,0.2,0.1
Punishment,MostlyPunishment,f,1047,0,16,6,,0.2,0.1
Punishment,MostlyPunishment,j,1037,1,17,6,,0.2,0.1
Punishment,MostlyPunishment,f,1046,2,18,6,,0.2,0.1
Neutral,MostlyPunishment,f,1045,3,19,6,,0.2,0.1
Punishment,MostlyPunishment,f,1044,4,20,6,,0.2,0.1
Neutral,MostlyPunishment,j,1037,5,21,6,,0.2,0.1
Punishment,MostlyPunishment,j,1036,6,22,6,,0.2,0.1
Punishment,MostlyPunishment,j,1036,7,23,6,,0.2,0.1
Reward,MostlyReward,f,1044,0,24,6,,0.2,0.1
Reward,MostlyReward,j,1036,1,25,6,,0.2,0.1
Punishment,MostlyReward,j,1035,2,26,6,,0.2,0.1
Reward,MostlyReward,j,1035,3,27,6,,0.2,0.1
Punishment,MostlyReward,f,1043,4,28,6,,0.2,0.1
Reward,MostlyReward,f,1042,5,29,6,,0.2,0.1
Reward,MostlyReward,f,1041,6,30,6,,0.2,0.1
Reward,MostlyReward,f,1041,7,31,6,,0.2,0.1
Punishment,MostlyPunishment,j,1035,0,32,6,,0.2,0.1
Punishment,MostlyPunishment,f,1040,1,33,6,,0.2,0.1
Reward,MostlyPunishment,j,1035,2,34,6,,0.2,0.1
Punishment,MostlyPunishment,j,1034,3,35,6,,0.2,0.1
Reward,MostlyPunishment,j,1034,4,36,6,,0.2,0.1
Punishment,MostlyPunishment,f,1040,5,37,6,,0.2,0.1
Punishment,MostlyPunishment,f,1039,6,38,6,,0.2,0.1
Punishment,MostlyPunishment,f,1039,7,39,6,,0.2,0.1
Reward,MostlyReward,f,1039,0,40,6,,0.2,0.1
Neutral,MostlyReward,f,1038,1,41,6,,0.2,0.1
Reward,MostlyReward,j,1034,2,42,6,,0.2,0.1
